Policy_ID,Customer_ID,Policy_Start_Date,Policy_End_Date,Policy_Type,Policy_Status,Customer_Age,Gender,Marital_Status,Region,City,Annual_Income,Vehicle_Age,Premium_Amount,Sum_Insured,Claim_Count,Claim_Amount,Claim_Status,Payment_Mode,Agent_ID,Agent_Name,Branch,Customer_Tenure_Years,Renewal_Status,Policy_Channel,Risk_Score,Customer_Satisfaction,Fraud_Flag
POL000016,CUST000016,15-01-2023,15-01-2024,Auto,Expired,52,Male,Single,North,Chandigarh,329524,2,34082.64,360038.07,1,30203.79,Approved,Monthly,AG0063,Agent_0063,Branch_008,2.5,Renewed,Agent,70,3,No
POL000017,CUST000017,12-05-2024,12-05-2025,Life,Expired,37,Male,Married,West,Pune,1036682,0,56763.85,4034104.66,0,0,No Claim,Monthly,AG0094,Agent_0094,Branch_002,11.3,Renewed,Agent,57,3,No
POL000018,CUST000018,05-05-2023,05-05-2024,Health,Expired,48,Male,Single,East,Kolkata,1845851,0,58802.91,836174.78,0,0,No Claim,Quarterly,AG0036,Agent_0036,Branch_002,3.9,Renewed,Online,56,2,No
POL000019,CUST000019,26-06-2025,26-06-2026,Life,Active,46,Female,Married,North,Delhi,928585,0,58140.65,4267542.34,0,0,No Claim,Monthly,AG0002,Agent_0002,Branch_004,7.2,Not Applicable,Branch,60,5,No
POL000020,CUST000020,07-12-2023,07-12-2024,Health,Expired,39,Female,Divorced,West,Pune,521659,0,26842.12,226767.01,0,0,No Claim,Quarterly,AG0050,Agent_0050,Branch_008,3,Renewed,Branch,17,4,No
POL000021,CUST000021,07-08-2024,07-08-2025,Health,Active,30,Male,Single,West,Pune,788500,0,36995.56,618310.35,1,116115.15,Approved,Yearly,AG0008,Agent_0008,Branch_001,0.8,Not Applicable,Agent,48,3,No
POL000022,CUST000022,03-09-2025,03-09-2026,Health,Active,29,Other,Single,South,Bangalore,1745499,0,36681.98,608009.36,0,0,No Claim,Monthly,AG0024,Agent_0024,Branch_004,7.5,Not Applicable,Agent,41,3,No
POL000023,CUST000023,06-04-2025,06-04-2026,Auto,Active,20,Female,Married,South,Bangalore,536331,8,19256.98,111931.36,0,0,No Claim,Yearly,AG0075,Agent_0075,Branch_005,2.5,Not Applicable,Agent,38,3,No
POL000024,CUST000024,23-02-2024,23-02-2025,Home,Cancelled,27,Male,Single,East,Bhubaneswar,233656,0,24046.77,675989.37,0,0,No Claim,Quarterly,AG0059,Agent_0059,Branch_002,7.9,Not Applicable,Branch,23,2,No
POL000025,CUST000025,20-01-2023,20-01-2024,Health,Expired,46,Female,Married,North,Delhi,727396,0,43073.73,545228.96,1,159336.68,Approved,Quarterly,AG0032,Agent_0032,Branch_008,10.2,Renewed,Online,44,3,No
POL000026,CUST000026,11-09-2024,11-09-2025,Home,Active,42,Female,Single,North,Shimla,497129,0,32240.11,1313058.65,0,0,No Claim,Monthly,AG0034,Agent_0034,Branch_003,5.2,Not Applicable,Branch,44,4,No
POL000027,CUST000027,11-07-2024,11-07-2025,Auto,Expired,47,Male,Married,South,Hyderabad,1413460,3,39734.61,317994.42,0,0,No Claim,Monthly,AG0007,Agent_0007,Branch_005,4.2,Renewed,Agent,63,3,No
POL000028,CUST000028,01-04-2023,01-04-2024,Auto,Active,36,Male,Married,South,Hyderabad,1119644,4,30220.09,352192.48,0,0,No Claim,Monthly,AG0072,Agent_0072,Branch_003,9.6,Not Applicable,Online,41,4,No
POL000029,CUST000029,15-03-2023,15-03-2024,Life,Active,50,Male,Single,South,Kochi,695300,0,36965.86,1517629.71,0,0,No Claim,Quarterly,AG0006,Agent_0006,Branch_004,1.5,Not Applicable,Online,36,4,No
POL000030,CUST000030,30-07-2023,30-07-2024,Health,Expired,57,Female,Single,West,Pune,551567,0,50187.44,450491.76,0,0,No Claim,Quarterly,AG0023,Agent_0023,Branch_006,6.9,Not Renewed,Online,57,3,No
POL000031,CUST000031,23-04-2025,23-04-2026,Life,Active,37,Male,Married,South,Hyderabad,1121915,0,39508.1,923628.13,0,0,No Claim,Monthly,AG0049,Agent_0049,Branch_004,11.6,Not Applicable,Branch,46,4,No
POL000032,CUST000032,13-02-2024,13-02-2025,Life,Expired,50,Male,Married,West,Ahmedabad,316079,0,46173.01,3610393.69,0,0,No Claim,Quarterly,AG0025,Agent_0025,Branch_002,6.9,Renewed,Agent,37,3,No
POL000033,CUST000033,25-07-2024,25-07-2025,Health,Active,40,Female,Single,West,Ahmedabad,709500,0,40636.94,546749.42,0,0,No Claim,Yearly,AG0023,Agent_0023,Branch_005,3.7,Not Applicable,Branch,58,3,No
POL000034,CUST000034,20-03-2023,20-03-2024,Auto,Expired,52,Female,Single,West,Ahmedabad,641835,0,29758.01,351762.4,1,37293.4,Approved,Monthly,AG0074,Agent_0074,Branch_007,10,Renewed,Online,71,2,No
POL000035,CUST000035,04-01-2023,04-01-2024,Health,Cancelled,22,Male,Divorced,South,Hyderabad,1916742,0,58298.48,882030.85,1,161379.8,Pending,Monthly,AG0085,Agent_0085,Branch_005,1.1,Not Applicable,Agent,66,3,No
POL000036,CUST000036,04-11-2025,04-11-2026,Auto,Active,43,Male,Single,West,Ahmedabad,826642,9,35406.86,387617.72,0,0,No Claim,Monthly,AG0017,Agent_0017,Branch_007,4.6,Not Applicable,Agent,63,4,No
POL000037,CUST000037,23-12-2023,23-12-2024,Home,Expired,25,Female,Single,East,Guwahati,840379,0,28379.35,1272142.75,0,0,No Claim,Yearly,AG0075,Agent_0075,Branch_008,9.2,Renewed,Agent,32,2,No
POL000038,CUST000038,23-06-2025,23-06-2026,Health,Active,36,Female,Divorced,South,Kochi,1587721,0,42329.63,346025.08,0,0,No Claim,Monthly,AG0095,Agent_0095,Branch_005,9.5,Not Applicable,Agent,64,3,No
POL000039,CUST000039,21-11-2025,21-11-2026,Home,Active,49,Female,Married,East,Kolkata,1714400,0,38458.04,1824086.64,0,0,No Claim,Quarterly,AG0087,Agent_0087,Branch_004,7.8,Not Applicable,Online,27,3,No
POL000040,CUST000040,29-10-2023,29-10-2024,Auto,Expired,45,Female,Married,South,Kochi,654243,4,22836.06,257534.1,0,0,No Claim,Monthly,AG0074,Agent_0074,Branch_007,3.7,Not Renewed,Agent,34,4,No
POL000041,CUST000041,09-10-2025,09-10-2026,Health,Active,38,Female,Married,South,Bangalore,396112,0,31563.57,267398.54,2,83094.38,Rejected,Quarterly,AG0100,Agent_0100,Branch_008,9.1,Not Applicable,Online,39,2,No
POL000042,CUST000042,13-04-2023,13-04-2024,Health,Expired,33,Male,Married,North,Jaipur,509984,0,34667.14,469754.19,0,0,No Claim,Quarterly,AG0041,Agent_0041,Branch_007,6.4,Renewed,Agent,43,1,No
POL000043,CUST000043,02-07-2025,02-07-2026,Life,Active,27,Male,Single,West,Surat,731279,0,47900.25,1883665.35,0,0,No Claim,Quarterly,AG0082,Agent_0082,Branch_008,10.7,Not Applicable,Agent,74,1,No
POL000044,CUST000044,04-05-2024,04-05-2025,Auto,Active,61,Male,Single,North,Shimla,1136810,4,38963.72,341312.28,0,0,No Claim,Monthly,AG0011,Agent_0011,Branch_007,4.6,Not Applicable,Online,85,4,No
POL000045,CUST000045,09-11-2023,09-11-2024,Home,Expired,22,Male,Married,North,Jaipur,710742,0,28602.26,675257.04,0,0,No Claim,Quarterly,AG0054,Agent_0054,Branch_001,11.8,Renewed,Branch,47,3,No
POL000046,CUST000046,18-02-2025,18-02-2026,Health,Active,29,Female,Married,East,Patna,613793,0,35051.97,624095.59,1,133757.75,Pending,Yearly,AG0054,Agent_0054,Branch_004,4.2,Not Applicable,Agent,30,4,No
POL000047,CUST000047,26-09-2025,26-09-2026,Auto,Active,30,Male,Single,West,Surat,816434,0,25391.61,178259.61,0,0,No Claim,Quarterly,AG0087,Agent_0087,Branch_008,2,Not Applicable,Agent,39,3,No
POL000048,CUST000048,19-09-2023,19-09-2024,Travel,Expired,53,Female,Married,North,Jaipur,509683,0,16264.31,153473.82,0,0,No Claim,Monthly,AG0060,Agent_0060,Branch_007,1.9,Renewed,Online,68,2,No
POL000049,CUST000049,01-11-2024,01-11-2025,Auto,Active,42,Female,Married,East,Patna,735276,6,38236.91,228595.8,1,37418.95,Rejected,Monthly,AG0033,Agent_0033,Branch_001,9.9,Not Applicable,Agent,83,4,No
POL000050,CUST000050,17-12-2024,17-12-2025,Auto,Expired,35,Female,Divorced,North,Delhi,228174,1,18830.78,160420.22,1,15834.07,Approved,Quarterly,AG0017,Agent_0017,Branch_004,7.7,Renewed,Agent,15,3,No
POL000051,CUST000051,10-08-2025,10-08-2026,Home,Active,28,Female,Divorced,East,Bhubaneswar,561647,0,33234.2,674940.77,0,0,No Claim,Monthly,AG0092,Agent_0092,Branch_003,7.1,Not Applicable,Agent,56,4,No
POL000052,CUST000052,29-09-2024,29-09-2025,Auto,Expired,46,Female,Divorced,North,Shimla,841002,8,24640.83,269205.16,0,0,No Claim,Monthly,AG0026,Agent_0026,Branch_004,8.5,Not Renewed,Agent,48,4,No
POL000053,CUST000053,28-07-2023,28-07-2024,Home,Expired,52,Female,Married,East,Kolkata,285248,0,34356.75,1216871.86,1,190339.56,Approved,Yearly,AG0009,Agent_0009,Branch_001,10.5,Not Renewed,Agent,58,5,Yes
POL000054,CUST000054,10-05-2025,10-05-2026,Life,Active,41,Other,Married,North,Jaipur,743409,0,52641.66,2873039.76,0,0,No Claim,Yearly,AG0059,Agent_0059,Branch_003,5.7,Not Applicable,Online,63,3,No
POL000055,CUST000055,04-12-2025,04-12-2026,Travel,Active,41,Male,Married,East,Guwahati,2828100,0,16104.55,75175.93,0,0,No Claim,Quarterly,AG0076,Agent_0076,Branch_004,4.5,Not Applicable,Agent,59,4,No
POL000056,CUST000056,27-06-2023,27-06-2024,Auto,Cancelled,40,Female,Married,West,Pune,581958,10,23131.49,144218.11,0,0,No Claim,Monthly,AG0044,Agent_0044,Branch_006,0.7,Not Applicable,Agent,53,2,No
POL000057,CUST000057,08-01-2024,08-01-2025,Health,Expired,26,Male,Married,East,Patna,930059,0,38036.27,576044.86,1,79573.42,Approved,Monthly,AG0025,Agent_0025,Branch_007,5.9,Renewed,Online,32,3,No
POL000058,CUST000058,27-09-2025,27-09-2026,Health,Active,30,Female,Married,South,Kochi,742198,0,34718.41,444713.56,2,137104.24,Rejected,Quarterly,AG0012,Agent_0012,Branch_004,5.2,Not Applicable,Online,42,5,No
POL000059,CUST000059,19-09-2024,19-09-2025,Home,Active,52,Female,Single,East,Guwahati,1408718,0,38699.68,822331.95,0,0,No Claim,Quarterly,AG0071,Agent_0071,Branch_008,8.8,Not Applicable,Agent,65,2,No
POL000060,CUST000060,08-07-2024,08-07-2025,Auto,Active,43,Female,Single,South,Bangalore,804399,9,22747.57,160416.64,0,0,No Claim,Yearly,AG0098,Agent_0098,Branch_004,10.8,Not Applicable,Online,39,3,No
POL000061,CUST000061,18-09-2025,18-09-2026,Auto,Active,23,Female,Single,East,Kolkata,525096,8,23958.47,164749.11,0,0,No Claim,Monthly,AG0047,Agent_0047,Branch_003,9.3,Not Applicable,Agent,39,2,No
POL000062,CUST000062,15-07-2024,15-07-2025,Auto,Expired,52,Female,Single,North,Shimla,688181,3,30948.62,212949.45,2,45770.8,Rejected,Quarterly,AG0074,Agent_0074,Branch_008,8,Not Renewed,Agent,79,2,No
POL000063,CUST000063,28-11-2024,28-11-2025,Auto,Active,47,Female,Married,North,Shimla,540799,6,37459.11,233280.31,0,0,No Claim,Quarterly,AG0052,Agent_0052,Branch_001,9,Not Applicable,Online,85,5,No
POL000064,CUST000064,07-11-2023,07-11-2024,Auto,Active,42,Other,Single,East,Kolkata,462025,3,19532.43,146292.22,0,0,No Claim,Yearly,AG0078,Agent_0078,Branch_004,0.9,Not Applicable,Agent,27,3,No
POL000065,CUST000065,06-12-2025,06-12-2026,Health,Active,42,Female,Divorced,West,Ahmedabad,977738,0,26034.67,394740.64,0,0,No Claim,Yearly,AG0040,Agent_0040,Branch_002,5.5,Not Applicable,Agent,23,3,No
POL000066,CUST000066,01-03-2024,01-03-2025,Home,Expired,63,Male,Single,East,Kolkata,1033125,0,45922.63,1637512.51,1,341968.58,Approved,Quarterly,AG0077,Agent_0077,Branch_004,10.5,Renewed,Online,45,2,No
POL000067,CUST000067,13-08-2024,13-08-2025,Home,Cancelled,37,Female,Divorced,West,Mumbai,1096923,0,39133.77,928972.32,2,322544.44,Rejected,Monthly,AG0085,Agent_0085,Branch_004,8.5,Not Applicable,Agent,60,4,No
POL000068,CUST000068,02-11-2023,02-11-2024,Travel,Cancelled,41,Male,Married,South,Bangalore,894918,0,13742.42,62566.54,0,0,No Claim,Quarterly,AG0073,Agent_0073,Branch_008,1.9,Not Applicable,Agent,46,3,No
POL000069,CUST000069,14-09-2024,14-09-2025,Home,Active,33,Male,Married,East,Guwahati,790965,0,28145.74,732778.9,0,0,No Claim,Quarterly,AG0095,Agent_0095,Branch_001,3.2,Not Applicable,Agent,39,4,No
POL000070,CUST000070,07-07-2023,07-07-2024,Auto,Expired,43,Female,Married,North,Shimla,1036339,5,33677.85,281517.5,0,0,No Claim,Quarterly,AG0057,Agent_0057,Branch_007,9,Renewed,Online,76,3,No
POL000071,CUST000071,04-10-2025,04-10-2026,Travel,Active,34,Male,Single,West,Ahmedabad,599501,0,8459.02,45866.37,0,0,No Claim,Monthly,AG0014,Agent_0014,Branch_008,3,Not Applicable,Agent,24,2,No
POL000072,CUST000072,13-08-2024,13-08-2025,Home,Expired,37,Male,Single,West,Mumbai,444526,0,35909.01,1723474.91,0,0,No Claim,Yearly,AG0052,Agent_0052,Branch_001,2.5,Not Renewed,Branch,90,3,No
POL000073,CUST000073,04-08-2025,04-08-2026,Health,Active,31,Female,Married,South,Hyderabad,515722,0,26640.16,495651.65,0,0,No Claim,Monthly,AG0057,Agent_0057,Branch_003,8.5,Not Applicable,Online,36,4,No
POL000074,CUST000074,12-08-2024,12-08-2025,Health,Active,44,Male,Married,West,Mumbai,569054,0,34226.61,512065.49,0,0,No Claim,Monthly,AG0091,Agent_0091,Branch_001,11.5,Not Applicable,Agent,38,3,No
POL000075,CUST000075,15-04-2025,15-04-2026,Auto,Active,43,Female,Married,North,Jaipur,841370,6,31841.06,250244.38,0,0,No Claim,Quarterly,AG0020,Agent_0020,Branch_005,10.3,Not Applicable,Branch,91,4,No
POL000076,CUST000076,08-11-2025,08-11-2026,Home,Active,26,Other,Single,West,Surat,150000,0,25157.36,974358.78,0,0,No Claim,Monthly,AG0071,Agent_0071,Branch_003,10.5,Not Applicable,Agent,30,4,No
POL000077,CUST000077,23-05-2023,23-05-2024,Auto,Expired,54,Female,Married,West,Ahmedabad,1099208,6,41574.68,426931.07,1,57046.11,Rejected,Yearly,AG0076,Agent_0076,Branch_008,2.3,Renewed,Branch,77,4,No
POL000078,CUST000078,01-11-2023,01-11-2024,Health,Expired,45,Male,Married,West,Ahmedabad,872451,0,36090.3,713658.04,0,0,No Claim,Yearly,AG0025,Agent_0025,Branch_007,1.7,Not Renewed,Online,47,3,No
POL000079,CUST000079,23-04-2024,23-04-2025,Life,Active,43,Male,Married,West,Mumbai,1666831,0,55056.8,3373503.2,0,0,No Claim,Quarterly,AG0049,Agent_0049,Branch_003,1.3,Not Applicable,Branch,49,3,No
POL000080,CUST000080,11-10-2025,11-10-2026,Travel,Active,18,Female,Married,South,Hyderabad,1190154,0,12583.76,101501.94,0,0,No Claim,Monthly,AG0057,Agent_0057,Branch_008,4.2,Not Applicable,Agent,35,3,No
POL000081,CUST000081,01-02-2023,01-02-2024,Home,Expired,60,Male,Married,West,Pune,675138,0,35141.25,1082299.4,0,0,No Claim,Yearly,AG0051,Agent_0051,Branch_006,1.4,Renewed,Online,45,5,No
POL000082,CUST000082,28-12-2025,28-12-2026,Health,Active,54,Female,Single,East,Guwahati,1439252,0,55036.36,861996.61,0,0,No Claim,Monthly,AG0009,Agent_0009,Branch_005,3.1,Not Applicable,Agent,49,2,No
POL000083,CUST000083,10-04-2024,10-04-2025,Home,Expired,23,Female,Married,West,Mumbai,1548668,0,40764.88,1719498.91,0,0,No Claim,Monthly,AG0039,Agent_0039,Branch_001,2,Renewed,Online,44,4,No
POL000084,CUST000084,23-08-2024,23-08-2025,Health,Cancelled,56,Male,Married,West,Pune,917225,0,34674.06,456437.91,0,0,No Claim,Monthly,AG0024,Agent_0024,Branch_007,9.7,Not Applicable,Online,35,3,No
POL000085,CUST000085,08-05-2024,08-05-2025,Health,Expired,34,Male,Single,South,Chennai,247604,0,31984.36,522617.49,0,0,No Claim,Quarterly,AG0060,Agent_0060,Branch_003,3.3,Renewed,Agent,40,1,No
POL000086,CUST000086,01-06-2023,01-06-2024,Health,Expired,71,Female,Married,East,Patna,691351,0,47314.1,672453.53,0,0,No Claim,Quarterly,AG0026,Agent_0026,Branch_002,2,Not Renewed,Branch,67,5,No
POL000087,CUST000087,30-04-2024,30-04-2025,Health,Active,63,Other,Single,East,Patna,995797,0,41709.08,652211.68,0,0,No Claim,Quarterly,AG0085,Agent_0085,Branch_001,8.7,Not Applicable,Online,45,4,No
POL000088,CUST000088,14-10-2025,14-10-2026,Life,Active,45,Female,Married,East,Bhubaneswar,1018285,0,49968.44,3449714.47,0,0,No Claim,Monthly,AG0082,Agent_0082,Branch_003,8.9,Not Applicable,Agent,40,4,No
POL000089,CUST000089,18-07-2023,18-07-2024,Travel,Expired,31,Female,Single,North,Shimla,536433,0,12243.94,73286.91,0,0,No Claim,Quarterly,AG0038,Agent_0038,Branch_003,3.1,Renewed,Agent,41,4,No
POL000090,CUST000090,16-02-2024,16-02-2025,Auto,Active,25,Female,Single,East,Patna,954734,3,23433.37,159435.5,0,0,No Claim,Quarterly,AG0062,Agent_0062,Branch_006,1,Not Applicable,Agent,52,2,No
POL000091,CUST000091,24-08-2023,24-08-2024,Health,Cancelled,20,Female,Single,North,Chandigarh,791974,0,40105.11,555055.82,0,0,No Claim,Quarterly,AG0087,Agent_0087,Branch_006,7.7,Not Applicable,Branch,63,4,No
POL000092,CUST000092,04-07-2023,04-07-2024,Life,Cancelled,42,Female,Married,North,Shimla,1492670,0,49684.5,1701823.28,0,0,No Claim,Quarterly,AG0087,Agent_0087,Branch_006,10.5,Not Applicable,Agent,64,3,No
POL000093,CUST000093,10-08-2023,10-08-2024,Home,Expired,55,Female,Divorced,West,Mumbai,1070107,0,23678.39,679282.19,0,0,No Claim,Monthly,AG0083,Agent_0083,Branch_008,11.7,Renewed,Agent,2,4,No
POL000094,CUST000094,10-09-2024,10-09-2025,Home,Active,30,Male,Single,North,Chandigarh,297476,0,23882.22,639926.74,0,0,No Claim,Monthly,AG0015,Agent_0015,Branch_003,2.4,Not Applicable,Online,42,5,No
POL000095,CUST000095,06-03-2025,06-03-2026,Health,Active,51,Female,Married,West,Pune,586504,0,59761.33,897869.3,0,0,No Claim,Yearly,AG0063,Agent_0063,Branch_005,1,Not Applicable,Agent,90,3,No
POL000096,CUST000096,09-03-2023,09-03-2024,Home,Active,31,Male,Single,South,Kochi,651369,0,30434.28,500797.6,1,104697.2,Approved,Yearly,AG0048,Agent_0048,Branch_006,6.4,Not Applicable,Branch,29,4,No
POL000097,CUST000097,05-05-2023,05-05-2024,Health,Expired,44,Female,Married,South,Bangalore,2207655,0,41757.18,488356.87,1,114529.66,Approved,Monthly,AG0003,Agent_0003,Branch_004,8.5,Renewed,Agent,48,4,No
POL000098,CUST000098,15-09-2023,15-09-2024,Life,Cancelled,37,Female,Married,South,Bangalore,688208,0,58224.31,4416716.93,0,0,No Claim,Quarterly,AG0030,Agent_0030,Branch_001,8,Not Applicable,Agent,85,4,No
POL000099,CUST000099,21-07-2024,21-07-2025,Life,Expired,25,Female,Married,South,Chennai,826772,0,44881.78,3242493.49,0,0,No Claim,Monthly,AG0017,Agent_0017,Branch_004,4.3,Not Renewed,Agent,32,4,No
POL000100,CUST000100,25-10-2024,25-10-2025,Auto,Expired,44,Male,Married,East,Kolkata,1244994,6,33775.08,362232.31,0,0,No Claim,Quarterly,AG0058,Agent_0058,Branch_002,8.5,Renewed,Agent,68,4,No
POL000101,CUST000101,14-07-2025,14-07-2026,Health,Active,27,Male,Divorced,North,Shimla,214158,0,26657.35,406294.88,0,0,No Claim,Quarterly,AG0008,Agent_0008,Branch_007,6.5,Not Applicable,Branch,35,2,No
POL000102,CUST000102,10-08-2023,10-08-2024,Health,Expired,34,Female,Single,West,Mumbai,692366,0,28728.79,413787.39,0,0,No Claim,Yearly,AG0080,Agent_0080,Branch_006,0.7,Renewed,Agent,27,2,No
POL000103,CUST000103,19-02-2025,19-02-2026,Travel,Active,49,Female,Married,East,Guwahati,817078,0,11588.28,46981.35,0,0,No Claim,Monthly,AG0090,Agent_0090,Branch_004,9.7,Not Applicable,Branch,54,3,No
POL000104,CUST000104,30-05-2025,30-05-2026,Health,Active,18,Male,Married,South,Kochi,870738,0,40517.22,383399.59,0,0,No Claim,Yearly,AG0054,Agent_0054,Branch_007,1.7,Not Applicable,Online,71,4,No
POL000105,CUST000105,02-10-2024,02-10-2025,Home,Expired,19,Female,Married,East,Bhubaneswar,891888,0,34925.12,1297827.87,0,0,No Claim,Monthly,AG0056,Agent_0056,Branch_006,3.1,Renewed,Agent,44,4,No
POL000106,CUST000106,24-09-2023,24-09-2024,Health,Active,46,Male,Married,East,Kolkata,343117,0,49046.24,531781.24,0,0,No Claim,Yearly,AG0055,Agent_0055,Branch_005,1.6,Not Applicable,Online,72,3,No
POL000107,CUST000107,01-10-2024,01-10-2025,Health,Expired,29,Female,Single,South,Chennai,2277679,0,40314.91,427373.43,0,0,No Claim,Monthly,AG0048,Agent_0048,Branch_004,3.2,Not Renewed,Agent,25,3,No
POL000108,CUST000108,28-05-2025,28-05-2026,Life,Active,58,Male,Single,North,Shimla,277039,0,46662.31,2942332.36,1,426597.93,Rejected,Quarterly,AG0044,Agent_0044,Branch_003,7.2,Not Applicable,Online,60,3,No
POL000109,CUST000109,31-03-2025,31-03-2026,Auto,Active,35,Female,Single,North,Delhi,625850,3,20139.29,150742.06,0,0,No Claim,Quarterly,AG0054,Agent_0054,Branch_006,6.6,Not Applicable,Agent,32,4,No
POL000110,CUST000110,30-09-2024,30-09-2025,Home,Expired,41,Male,Married,North,Delhi,367288,0,26692.11,921476.22,0,0,No Claim,Yearly,AG0057,Agent_0057,Branch_008,8.4,Renewed,Agent,28,4,No
POL000111,CUST000111,28-04-2025,28-04-2026,Auto,Active,40,Male,Single,North,Shimla,768337,0,28239.32,209902.88,0,0,No Claim,Yearly,AG0087,Agent_0087,Branch_005,11.9,Not Applicable,Agent,47,2,No
POL000112,CUST000112,04-04-2023,04-04-2024,Auto,Active,40,Male,Divorced,North,Delhi,1075050,5,35278.02,198399.03,1,25494.38,Rejected,Quarterly,AG0038,Agent_0038,Branch_008,11.3,Not Applicable,Online,76,2,No
POL000113,CUST000113,31-05-2025,31-05-2026,Auto,Active,22,Female,Married,West,Pune,254975,6,21059.77,181319.48,0,0,No Claim,Monthly,AG0046,Agent_0046,Branch_001,1.8,Not Applicable,Agent,30,1,No
POL000114,CUST000114,12-06-2025,12-06-2026,Auto,Active,34,Female,Married,North,Shimla,1329484,6,30299.34,168659.31,1,35687.79,Approved,Quarterly,AG0054,Agent_0054,Branch_001,9.3,Not Applicable,Online,64,3,No
POL000115,CUST000115,27-10-2024,27-10-2025,Auto,Cancelled,50,Male,Married,West,Ahmedabad,703997,1,24532.85,134371.48,1,17453.59,Approved,Monthly,AG0068,Agent_0068,Branch_005,5.6,Not Applicable,Agent,34,3,No
POL000116,CUST000116,26-11-2024,26-11-2025,Auto,Active,43,Female,Single,South,Bangalore,452494,6,23446.98,142186.57,1,27186.87,Approved,Quarterly,AG0045,Agent_0045,Branch_003,1.2,Not Applicable,Agent,32,3,No
